Date,Site,Count
1/9/2019,RIO SALADO 2875 S. 7th Street SE,
1/9/2019,RIO SALADO 3201 S. 16th Street SE,
1/9/2019,RIO-16ST-SE-REPL,
1/9/2019,RIO-7TH ST SE-REPL,
1/9/2019,RIO-CENT-NEGW-REPL,
1/9/2019,South Mountain- Desert Classic Trail,301
1/9/2019,South Mountain-620 Trailhead,128
1/9/2019,South Mountain-Hau'Pal,
1/9/2019,South Mountain-Holbert Trail,81
1/9/2019,South Mountain-Judith Tunell Trail,44
1/9/2019,South Mountain-Kiwanis Trail ,
1/9/2019,South Mountain-Ma-Ha-Tuak Perimeter,
1/9/2019,South Mountain-Mormon Trail,383
1/9/2019,South Mountain-Pima Dirt Rd. ,701
1/9/2019,South Mountain-Pima West Loop,372
1/9/2019,South Mountain-Telegraph Pass Trail,209
1/10/2019,E - Camelback - Cholla Trail ,
1/10/2019,E - Camelback - Echo Canyon Trail,864
1/10/2019,E - Dreamy Draw Park - Bike Path - Restroom Area,252
1/10/2019,E - Dreamy Draw Park - Trail 104,106
1/10/2019,E - Papago - 5K Fitness,212
1/10/2019,E - Papago - Archery,59
1/10/2019,E - Papago - Hole In The Rock,163
1/10/2019,E - PMP - 32nd St. Trailhead,223
1/10/2019,E - PMP - 40th St. Trailhead - East Access,184
1/10/2019,E - PMP - 40th St. Trailhead - Wash - West Access,682
1/10/2019,E - PMP - Piestewa Summit Trail,981
1/10/2019,E - PMP - Trail 1032,
1/10/2019,E - PMP - Trail 1136,149
1/10/2019,E - PMP - Trail8B - 7000 N. 36th,
1/10/2019,N - 25th St. and Acoma-Shadow Mtn N,30
1/10/2019,N - 7th Ave - Peoria-Mtn. View Park Access,92
1/10/2019,N - Apache Wash Replacement,
1/10/2019,N - Carefree Bridge - Cave Creek Wash,
1/10/2019,N - Deem Hills - East - 39th Ave TH,113
1/10/2019,N - Deem Hills - West - 51st Ave TH,99
1/10/2019,N - Desert Hills - North - Ocotillo Trail,68
1/10/2019,N - Desert Hills - South - Sidewinder Trail,151
1/10/2019,N - Desert Vista TH - Hawk,126
1/10/2019,N - Lookout Mountain - 306 - North Side TH,489
1/10/2019,N - NMVC,132
1/10/2019,N - North Mountain - 44-Tower Road,0
1/10/2019,N - Shaw Butte TH,238
1/10/2019,N -15th Ave - Yucca-Shaw Butte SW,
1/10/2019,N-NM TOWER TR 44 REPL,
1/10/2019,RIO SALADO 2439 S. Central Avenue NE GATEWAY,
1/10/2019,RIO SALADO 2875 S. 7th Street SE,
1/10/2019,RIO SALADO 3201 S. 16th Street SE,
1/10/2019,RIO-16ST-SE-REPL,
1/10/2019,RIO-7TH ST SE-REPL,
1/10/2019,RIO-CENT-NEGW-REPL,
1/10/2019,South Mountain- Desert Classic Trail,210
1/10/2019,South Mountain-620 Trailhead,123
1/10/2019,South Mountain-Hau'Pal,
1/10/2019,South Mountain-Holbert Trail,89
1/10/2019,South Mountain-Judith Tunell Trail,34
1/10/2019,South Mountain-Kiwanis Trail ,
1/10/2019,South Mountain-Ma-Ha-Tuak Perimeter,
1/10/2019,South Mountain-Mormon Trail,358
1/10/2019,South Mountain-Pima Dirt Rd. ,596
1/10/2019,South Mountain-Pima West Loop,410
1/10/2019,South Mountain-Telegraph Pass Trail,202
1/11/2019,E - Camelback - Cholla Trail ,
1/11/2019,E - Camelback - Echo Canyon Trail,859
